# FACILITY: LCO
# DATE-OBS: 2023-09-12
wavelength flux
3.943514171055928273e+03 1.497904125000000030e-14
3.945237020316023518e+03 1.482826125000000064e-14
3.946959869576118763e+03 1.560311874999999964e-14
3.948682718836214008e+03 1.582580125000000067e-14
3.950405568096309253e+03 1.549954250000000055e-14
3.952128417356404498e+03 1.568140499999999868e-14
3.953851266616499743e+03 1.511924624999999801e-14
3.955574115876594988e+03 1.546605749999999917e-14
3.957296965136690233e+03 1.481314500000000062e-14
3.959019814396785932e+03 1.406462874999999858e-14
3.960742663656881177e+03 1.491874374999999846e-14
3.962465512916976422e+03 1.445541874999999876e-14
3.964188362177071667e+03 1.309984999999999927e-14
3.965911211437166912e+03 1.263106874999999901e-14
3.967634060697262157e+03 1.271459124999999878e-14
3.969356909957357857e+03 1.187638749999999936e-14
3.971079759217453102e+03 1.180448999999999867e-14
3.972802608477548347e+03 1.187634624999999890e-14
3.974525457737643592e+03 1.256340874999999901e-14
3.976248306997738837e+03 1.398448999999999859e-14
3.977971156257834082e+03 1.470503124999999804e-14
3.979694005517929327e+03 1.438747374999999801e-14
3.981416854778024572e+03 1.410194749999999918e-14
3.983139704038119817e+03 1.455118124999999891e-14
3.984862553298215062e+03 1.529910625000000011e-14
3.986585402558310761e+03 1.542657874999999934e-14
3.988308251818406006e+03 1.518866500000000006e-14
3.990031101078501251e+03 1.505064374999999888e-14
3.991753950338596496e+03 1.480052624999999902e-14
3.993476799598691741e+03 1.473156624999999799e-14
3.995199648858786986e+03 1.543622250000000014e-14
3.996922498118882686e+03 1.545589874999999959e-14
3.998645347378977931e+03 1.519423624999999886e-14
4.000368196639073176e+03 1.461024374999999906e-14
4.002091045899168421e+03 1.465497374999999851e-14
4.003813895159263666e+03 1.388665749999999879e-14
4.005536744419358911e+03 1.434570999999999936e-14
4.007259593679454156e+03 1.473139749999999839e-14
4.008982442939549401e+03 1.328800249999999932e-14
4.010705292199644646e+03 1.373136874999999994e-14
4.012428141459739891e+03 1.397647124999999868e-14
4.014150990719835136e+03 1.418644624999999989e-14
4.015873839979930835e+03 1.494053874999999983e-14
